task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
37	c7/172450	2152995	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-263)	COMPLETED	0	2022-06-12 23:50:22.772	3m 56s	3m 24s	91.8%	40.9 GB	41.6 GB	1.6 GB	147.6 KB
41	5a/60093f	2152999	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-675)	COMPLETED	0	2022-06-12 23:50:26.764	4m 52s	4m 19s	91.0%	40.9 GB	41.6 GB	1.6 GB	146.1 KB
49	2d/9c58a7	2153006	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-249)	COMPLETED	0	2022-06-12 23:50:33.770	4m 45s	4m 23s	91.9%	40.9 GB	41.6 GB	1.6 GB	127.9 KB
53	3e/086c2b	2153012	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-848)	COMPLETED	0	2022-06-12 23:50:40.786	6m 8s	2m 20s	92.1%	40.9 GB	41.6 GB	1.6 GB	147 KB
57	0c/63e294	2153016	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-157)	COMPLETED	0	2022-06-12 23:50:43.573	10m 5s	3m 3s	95.6%	40.9 GB	41.6 GB	1.6 GB	144.4 KB
61	9c/1bc55d	2153020	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-409)	COMPLETED	0	2022-06-12 23:50:47.601	12m 6s	2m 39s	91.0%	40.9 GB	41.6 GB	1.6 GB	147.7 KB
65	5f/8be257	2153024	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-869)	COMPLETED	0	2022-06-12 23:50:51.493	12m 2s	2m 31s	92.9%	40.9 GB	41.6 GB	1.6 GB	145 KB
69	b8/b7a3bd	2153028	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-993)	COMPLETED	0	2022-06-12 23:50:55.813	13m 23s	3m 4s	95.6%	40.9 GB	41.6 GB	1.6 GB	148.8 KB
73	8c/1ca352	2153033	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-931)	COMPLETED	0	2022-06-12 23:51:00.794	13m 53s	2m 38s	91.2%	40.9 GB	41.6 GB	1.6 GB	147.2 KB
77	7f/71ec60	2153036	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-250)	COMPLETED	0	2022-06-12 23:51:03.628	13m 50s	2m 38s	91.0%	40.9 GB	41.6 GB	1.6 GB	126.3 KB
22	a9/5e2ab3	2152979	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-531)	COMPLETED	0	2022-06-12 23:50:08.040	15m 55s	15m 45s	98.3%	24 GB	24.9 GB	1.6 GB	177 KB
50	75/37a4f4	2153008	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-848)	COMPLETED	0	2022-06-12 23:50:36.057	15m 32s	12m 37s	98.7%	24.1 GB	24.9 GB	1.6 GB	176.8 KB
6	81/551d29	2152963	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-293)	COMPLETED	0	2022-06-12 23:49:51.636	16m 27s	16m 8s	98.2%	24.1 GB	24.9 GB	1.6 GB	177.4 KB
18	e4/b4c005	2152975	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-290)	COMPLETED	0	2022-06-12 23:50:03.624	16m 25s	16m 20s	97.3%	24 GB	24.9 GB	1.6 GB	176.9 KB
14	f9/880453	2152971	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-241)	COMPLETED	0	2022-06-12 23:49:59.609	16m 39s	16m 34s	98.6%	24.1 GB	24.9 GB	1.6 GB	177.1 KB
26	64/aec0d6	2152983	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-202)	COMPLETED	0	2022-06-12 23:50:10.652	16m 58s	16m 3s	98.0%	24.1 GB	24.9 GB	1.6 GB	177 KB
10	60/b25a75	2152967	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-2)	COMPLETED	0	2022-06-12 23:49:55.638	17m 23s	16m 58s	95.9%	24 GB	24.9 GB	1.6 GB	176.8 KB
42	6d/1ed26d	2153000	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-724)	COMPLETED	0	2022-06-12 23:50:27.842	17m 6s	16m 43s	98.0%	24.1 GB	24.9 GB	1.6 GB	177.1 KB
81	52/fcac99	2153040	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-231)	COMPLETED	0	2022-06-12 23:51:07.547	16m 26s	3m 33s	95.1%	40.9 GB	41.6 GB	1.6 GB	147.3 KB
85	6a/6b13a2	2153044	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-570)	COMPLETED	0	2022-06-12 23:51:11.777	16m 47s	2m 27s	92.5%	40.9 GB	41.6 GB	1.6 GB	144.5 KB
46	04/617c1c	2153004	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-249)	COMPLETED	0	2022-06-12 23:50:31.965	17m 47s	17m 21s	97.3%	24 GB	24.9 GB	1.6 GB	177.5 KB
31	2c/78c673	2152989	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-217)	COMPLETED	0	2022-06-12 23:50:16.913	18m 22s	18m 13s	96.3%	24.1 GB	24.9 GB	1.6 GB	176.9 KB
983	c4/080383	2153207	run_method (schraivogel/enhancer_screen_chr11/gene+weissman_method+non-targeting-00006)	COMPLETED	0	2022-06-13 00:06:09.492	2m 44s	25.1s	83.6%	3.5 GB	4.1 GB	113 MB	7.2 KB
34	84/dbb0bb	2152992	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-263)	COMPLETED	0	2022-06-12 23:50:19.834	18m 54s	18m 25s	96.0%	24.1 GB	24.9 GB	1.6 GB	176.8 KB
38	55/647a7b	2152996	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-675)	COMPLETED	0	2022-06-12 23:50:23.837	18m 50s	18m 27s	96.3%	24 GB	24.9 GB	1.6 GB	176.8 KB
3	fd/98b151	2152960	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-670)	COMPLETED	0	2022-06-12 23:49:49.858	19m 39s	19m 19s	97.8%	24 GB	24.9 GB	1.6 GB	177 KB
1003	bb/428dca	2153209	run_method (schraivogel/enhancer_screen_chr11/gene+weissman_method+non-targeting-00011)	COMPLETED	0	2022-06-13 00:06:29.575	3m 14s	24.2s	87.4%	3.5 GB	4.1 GB	113 MB	7.2 KB
54	2a/734656	2153013	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-157)	COMPLETED	0	2022-06-12 23:50:41.471	19m 17s	13m 5s	98.5%	24.1 GB	24.9 GB	1.6 GB	177.1 KB
1067	df/a88652	2153213	run_method (schraivogel/enhancer_screen_chr11/gene+weissman_method+non-targeting-00027)	COMPLETED	0	2022-06-13 00:07:34.685	2m 34s	24.5s	86.0%	3.5 GB	4.1 GB	113 MB	7.1 KB
89	8c/22a8e2	2153047	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-672)	COMPLETED	0	2022-06-12 23:51:15.039	19m 4s	3m 34s	95.9%	40.9 GB	41.6 GB	1.6 GB	130.8 KB
101	a7/191061	2153060	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-892)	COMPLETED	0	2022-06-12 23:51:27.576	19m 26s	2m 35s	91.7%	40.9 GB	41.6 GB	1.6 GB	138.1 KB
1111	3d/0b18f9	2153216	run_method (schraivogel/enhancer_screen_chr8/gene+weissman_method+non-targeting-00008)	COMPLETED	0	2022-06-13 00:08:19.682	2m 44s	24.8s	88.7%	3.6 GB	4.3 GB	105.1 MB	7.3 KB
97	29/06802c	2153056	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-658)	COMPLETED	0	2022-06-12 23:51:23.733	19m 55s	3m 24s	89.5%	40.9 GB	41.6 GB	1.6 GB	151 KB
105	1d/1e4d94	2153064	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-177)	COMPLETED	0	2022-06-12 23:51:31.500	19m 52s	3m 38s	94.0%	40.9 GB	41.6 GB	1.6 GB	147.2 KB
1147	32/b05d76	2153218	run_method (schraivogel/enhancer_screen_chr8/gene+weissman_method+non-targeting-00017)	COMPLETED	0	2022-06-13 00:08:54.725	2m 39s	24.8s	88.1%	3.6 GB	4.3 GB	105.1 MB	7.3 KB
1167	de/500342	2153219	run_method (schraivogel/enhancer_screen_chr8/gene+weissman_method+non-targeting-00022)	COMPLETED	0	2022-06-13 00:09:14.715	2m 39s	25.4s	86.2%	3.6 GB	4.3 GB	105.1 MB	7.3 KB
93	b6/295633	2153052	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-422)	COMPLETED	0	2022-06-12 23:51:19.603	20m 49s	4m 17s	94.4%	40.9 GB	41.6 GB	1.6 GB	144.4 KB
27	96/dd6be7	2152986	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-202)	COMPLETED	0	2022-06-12 23:50:13.857	23m 5s	22m 41s	98.5%	9.7 GB	10.5 GB	1.6 GB	171.5 KB
113	1b/8d4771	2153072	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-640)	COMPLETED	0	2022-06-12 23:51:39.571	21m 39s	2m 36s	91.9%	40.9 GB	41.6 GB	1.6 GB	146.7 KB
109	f4/53d461	2153068	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-736)	COMPLETED	0	2022-06-12 23:51:35.603	21m 53s	3m 34s	94.6%	40.9 GB	41.6 GB	1.6 GB	148.5 KB
1327	5e/711a3d	2153232	run_method (schraivogel/ground_truth_tapseq/gene+mimosca+non-targeting-00002)	COMPLETED	0	2022-06-13 00:11:54.727	1m 44s	1m 1s	93.9%	525.5 MB	1.2 GB	57.9 MB	3.2 KB
23	88/a6dc7e	2152981	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-531)	COMPLETED	0	2022-06-12 23:50:08.730	23m 45s	22m 59s	97.9%	9.7 GB	10.5 GB	1.6 GB	171.7 KB
58	39/ec7825	2153017	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-409)	COMPLETED	0	2022-06-12 23:50:44.537	23m 9s	16m 3s	98.1%	24.1 GB	24.9 GB	1.6 GB	177.1 KB
1413	06/6ab244	2153235	run_method (schraivogel/ground_truth_tapseq/gene+seurat_de+non-targeting-00024)	COMPLETED	0	2022-06-13 00:13:20.752	32.8s	18.4s	83.5%	472.9 MB	1.3 GB	79.9 MB	4 KB
2	e3/a70710	2152959	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-670)	COMPLETED	0	2022-06-12 23:49:49.072	24m 9s	23m 38s	98.3%	9.7 GB	10.5 GB	1.6 GB	165.4 KB
7	6d/60d500	2152964	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-293)	COMPLETED	0	2022-06-12 23:49:52.611	24m 6s	23m 58s	99.1%	9.7 GB	10.5 GB	1.6 GB	167.1 KB
11	e9/d7b927	2152968	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-2)	COMPLETED	0	2022-06-12 23:49:56.603	24m 2s	23m 38s	97.7%	9.7 GB	10.5 GB	1.6 GB	171.9 KB
15	93/623cfb	2152973	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-241)	COMPLETED	0	2022-06-12 23:50:01.668	24m 2s	23m 52s	97.6%	9.7 GB	10.5 GB	1.6 GB	169.8 KB
20	34/f5ee56	2152977	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-290)	COMPLETED	0	2022-06-12 23:50:05.750	24m 13s	24m	95.4%	9.7 GB	10.5 GB	1.6 GB	172.2 KB
35	61/789bef	2152993	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-263)	COMPLETED	0	2022-06-12 23:50:21.051	23m 58s	23m 35s	97.7%	9.7 GB	10.5 GB	1.6 GB	169.8 KB
39	be/dac8c7	2152997	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-675)	COMPLETED	0	2022-06-12 23:50:24.831	23m 54s	23m 36s	97.8%	9.7 GB	10.5 GB	1.6 GB	169.3 KB
1342	1c/3f77b9	2153233	run_method (schraivogel/ground_truth_tapseq/gene+mimosca+non-targeting-00006)	COMPLETED	0	2022-06-13 00:12:09.733	2m 9s	1m 3s	94.7%	525.5 MB	1.2 GB	57.9 MB	3.2 KB
1412	d7/f9cc91	2153234	run_method (schraivogel/ground_truth_tapseq/gene+schraivogel_method+non-targeting-00024)	COMPLETED	0	2022-06-13 00:13:19.763	1m 14s	36.5s	89.9%	1002.6 MB	1.8 GB	95 MB	3.6 KB
1432	34/ddd473	2153237	run_method (schraivogel/ground_truth_tapseq/gene+schraivogel_method+non-targeting-00029)	COMPLETED	0	2022-06-13 00:13:39.753	1m 14s	35.5s	89.7%	953.1 MB	1.8 GB	95 MB	3.6 KB
47	83/cfb8ba	2153005	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-249)	COMPLETED	0	2022-06-12 23:50:32.781	24m 26s	23m 58s	98.6%	9.7 GB	10.5 GB	1.6 GB	171.4 KB
55	98/e6e59b	2153015	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-157)	COMPLETED	0	2022-06-12 23:50:42.776	24m 16s	23m 16s	97.6%	9.7 GB	10.5 GB	1.6 GB	163.6 KB
62	60/4f1d49	2153021	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-869)	COMPLETED	0	2022-06-12 23:50:48.604	24m 20s	16m 3s	97.4%	24.1 GB	24.9 GB	1.6 GB	176.8 KB
1422	dd/ac351f	2153236	run_method (schraivogel/ground_truth_tapseq/gene+mimosca+non-targeting-00026)	COMPLETED	0	2022-06-13 00:13:29.696	1m 39s	1m 6s	93.0%	525.5 MB	1.2 GB	57.9 MB	3.2 KB
117	9e/e06823	2153076	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-714)	COMPLETED	0	2022-06-12 23:51:43.666	23m 35s	3m 30s	95.2%	40.9 GB	41.6 GB	1.6 GB	123.2 KB
30	e9/21757e	2152988	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-217)	COMPLETED	0	2022-06-12 23:50:15.695	25m 8s	24m 9s	98.8%	9.7 GB	10.5 GB	1.6 GB	168.6 KB
43	d7/e20f42	2153001	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-724)	COMPLETED	0	2022-06-12 23:50:28.849	24m 55s	23m 59s	98.0%	9.7 GB	10.5 GB	1.6 GB	170 KB
51	58/81e3ba	2153010	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-848)	COMPLETED	0	2022-06-12 23:50:39.788	24m 44s	23m 3s	96.4%	9.7 GB	10.5 GB	1.6 GB	167.6 KB
121	38/bb6afa	2153080	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-594)	COMPLETED	0	2022-06-12 23:51:47.726	23m 41s	2m 30s	93.7%	40.9 GB	41.6 GB	1.6 GB	133.7 KB
59	d6/756000	2153018	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-409)	COMPLETED	0	2022-06-12 23:50:45.603	25m 33s	23m 5s	98.0%	9.7 GB	10.5 GB	1.6 GB	169.9 KB
63	b5/99bf4a	2153022	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-869)	COMPLETED	0	2022-06-12 23:50:49.595	25m 54s	23m 12s	97.0%	9.7 GB	10.5 GB	1.6 GB	168.1 KB
66	64/f1bb3d	2153025	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-993)	COMPLETED	0	2022-06-12 23:50:52.495	26m 11s	16m 14s	98.0%	24 GB	24.9 GB	1.6 GB	177.6 KB
71	76/008e33	2153030	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-931)	COMPLETED	0	2022-06-12 23:50:57.732	26m 21s	23m 17s	97.1%	9.7 GB	10.5 GB	1.6 GB	168.4 KB
125	bf/4ce3a1	2153084	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-813)	COMPLETED	0	2022-06-12 23:51:51.907	25m 27s	3m 37s	95.6%	40.9 GB	41.6 GB	1.6 GB	145.6 KB
75	49/c3fe6a	2153034	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-250)	COMPLETED	0	2022-06-12 23:51:01.628	26m 42s	23m 4s	98.2%	9.7 GB	10.5 GB	1.6 GB	169.4 KB
67	69/090409	2153026	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-993)	COMPLETED	0	2022-06-12 23:50:53.478	26m 55s	23m 59s	98.4%	9.7 GB	10.5 GB	1.6 GB	171.2 KB
133	a7/fa3e0f	2153092	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-598)	COMPLETED	0	2022-06-12 23:52:00.207	26m 13s	2m 39s	90.6%	40.9 GB	41.6 GB	1.6 GB	147.8 KB
909	cb/40fe14	2153205	run_method (papalexi/eccite_screen/gene+seurat_de+NTg8)	COMPLETED	0	2022-06-13 00:04:55.563	13m 23s	11m 7s	96.1%	4.3 GB	5.1 GB	730.2 MB	177.6 KB
129	8a/3b439e	2153088	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-328)	COMPLETED	0	2022-06-12 23:51:55.897	26m 38s	3m 32s	95.2%	40.9 GB	41.6 GB	1.6 GB	146.2 KB
86	d6/ffe38a	2153045	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-672)	COMPLETED	0	2022-06-12 23:51:12.619	27m 46s	13m 23s	98.5%	24.1 GB	24.9 GB	1.6 GB	177.2 KB
70	65/4cb2f4	2153029	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-931)	COMPLETED	0	2022-06-12 23:50:56.503	28m 12s	17m 2s	98.1%	24.1 GB	24.9 GB	1.6 GB	176.8 KB
74	5f/d7fc91	2153032	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-250)	COMPLETED	0	2022-06-12 23:50:59.490	28m 9s	16m 13s	98.6%	24.1 GB	24.9 GB	1.6 GB	177.3 KB
82	90/3de7d2	2153041	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-570)	COMPLETED	0	2022-06-12 23:51:08.574	28m 10s	13m 27s	98.0%	24.1 GB	24.9 GB	1.6 GB	176.8 KB
1013	49/47dd45	2153210	run_method (schraivogel/enhancer_screen_chr11/gene+schraivogel_method+non-targeting-00014)	COMPLETED	0	2022-06-13 00:06:41.983	12m 37s	1m 9s	90.1%	3.5 GB	4.3 GB	150.2 MB	3.7 KB
1052	63/587208	2153212	run_method (schraivogel/enhancer_screen_chr11/gene+schraivogel_method+non-targeting-00024)	COMPLETED	0	2022-06-13 00:07:19.650	12m 59s	1m 8s	90.8%	3.5 GB	4.3 GB	150.2 MB	3.7 KB
137	1e/618c2c	2153096	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-915)	COMPLETED	0	2022-06-12 23:52:03.640	28m 25s	3m 14s	94.7%	40.9 GB	41.6 GB	1.6 GB	131.3 KB
78	7e/b28621	2153037	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-231)	COMPLETED	0	2022-06-12 23:51:04.979	29m 49s	17m 26s	97.6%	24.1 GB	24.9 GB	1.6 GB	177.2 KB
141	76/b40ad0	2153100	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-859)	COMPLETED	0	2022-06-12 23:52:07.921	29m 21s	2m 34s	90.4%	40.9 GB	41.6 GB	1.6 GB	146.7 KB
79	c9/a13113	2153039	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-231)	COMPLETED	0	2022-06-12 23:51:06.493	30m 52s	22m 29s	98.5%	9.7 GB	10.5 GB	1.6 GB	168.9 KB
1068	e5/c13a0a	2153214	run_method (schraivogel/enhancer_screen_chr11/gene+schraivogel_method+non-targeting-00028)	COMPLETED	0	2022-06-13 00:07:35.716	14m 38s	1m 7s	92.5%	3.5 GB	4.3 GB	150.2 MB	3.7 KB
145	e8/49ed4d	2153104	run_method (frangieh/co_culture/gene+weissman_method+ONE-NON-GENE-SITE-84)	COMPLETED	0	2022-06-12 23:52:12.303	30m 6s	3m 31s	95.2%	40.9 GB	41.6 GB	1.6 GB	147.3 KB
90	ab/e060b5	2153049	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-422)	COMPLETED	0	2022-06-12 23:51:16.827	31m 17s	16m 12s	98.2%	24 GB	24.9 GB	1.6 GB	176.8 KB
98	4a/a6a2b4	2153057	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-892)	COMPLETED	0	2022-06-12 23:51:24.482	31m 34s	16m 20s	97.6%	24.1 GB	24.9 GB	1.6 GB	177 KB
94	46/e2f62e	2153054	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-658)	COMPLETED	0	2022-06-12 23:51:22.080	31m 57s	16m 26s	98.2%	24.1 GB	24.9 GB	1.6 GB	177 KB
102	fe/2aca03	2153061	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-177)	COMPLETED	0	2022-06-12 23:51:28.636	31m 50s	16m 28s	98.5%	24.1 GB	24.9 GB	1.6 GB	176.9 KB
110	12/e0fe72	2153069	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-640)	COMPLETED	0	2022-06-12 23:51:36.951	31m 42s	13m 37s	98.0%	24.1 GB	24.9 GB	1.6 GB	176.8 KB
83	d0/67bafa	2153042	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-570)	COMPLETED	0	2022-06-12 23:51:09.667	32m 24s	23m 20s	99.0%	9.7 GB	10.5 GB	1.6 GB	167.6 KB
153	55/ff7e2e	2153111	run_method (frangieh/co_culture/gene+weissman_method+NO-SITE-23)	COMPLETED	0	2022-06-12 23:52:18.620	31m 20s	2m 36s	92.2%	40.9 GB	41.6 GB	1.6 GB	149 KB
149	22/3ea4eb	2153108	run_method (frangieh/co_culture/gene+weissman_method+NO-SITE-736)	COMPLETED	0	2022-06-12 23:52:16.377	32m 2s	3m 23s	96.1%	40.9 GB	41.6 GB	1.6 GB	147.8 KB
87	6a/6b06da	2153046	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-672)	COMPLETED	0	2022-06-12 23:51:13.719	34m 5s	24m 2s	95.0%	9.7 GB	10.5 GB	1.6 GB	166.7 KB
106	53/37a1ca	2153065	run_method (frangieh/co_culture/gene+schraivogel_method+ONE-NON-GENE-SITE-736)	COMPLETED	0	2022-06-12 23:51:32.502	34m 11s	17m 33s	97.4%	24.1 GB	24.9 GB	1.6 GB	176.9 KB
95	0d/fe1ff9	2153053	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-658)	COMPLETED	0	2022-06-12 23:51:21.302	34m 57s	24m 32s	99.2%	9.7 GB	10.5 GB	1.6 GB	172.9 KB
157	d4/8faa08	2153116	run_method (frangieh/co_culture/gene+weissman_method+NO-SITE-694)	COMPLETED	0	2022-06-12 23:52:23.617	33m 55s	3m 33s	95.2%	40.9 GB	41.6 GB	1.6 GB	148.1 KB
161	ef/aa5adb	2153121	run_method (frangieh/co_culture/gene+weissman_method+NO-SITE-505)	COMPLETED	0	2022-06-12 23:52:28.627	34m 20s	2m 45s	89.2%	40.9 GB	41.6 GB	1.6 GB	148.5 KB
880	f8/369256	2153294	run_method (liscovitch/experiment_big/chromatin+liscovitch_method+NT-3)	COMPLETED	0	2022-06-13 00:26:19.641	33.9s	13s	79.8%	449.1 MB	1.1 GB	76.7 MB	4.2 KB
881	2d/0d0317	2153295	run_method (liscovitch/experiment_small/chromatin+liscovitch_method+non-targeting-1)	COMPLETED	0	2022-06-13 00:26:20.736	32.8s	12.5s	80.6%	393.3 MB	1.1 GB	63.7 MB	4.2 KB
91	a1/934054	2153051	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-422)	COMPLETED	0	2022-06-12 23:51:18.607	35m 45s	25m 44s	98.0%	9.7 GB	10.5 GB	1.6 GB	167.7 KB
103	a5/9ac780	2153062	run_method (frangieh/co_culture/gene+seurat_de+ONE-NON-GENE-SITE-177)	COMPLETED	0	2022-06-12 23:51:29.490	35m 49s	22m 55s	98.5%	9.7 GB	10.5 GB	1.6 GB	170.7 KB
